str,nutri_scores
"Mother's loaf, pork",b
"Picnic loaf, pork, beef",b
"Pork sausage, link/patty, unprepared",c
"Pork sausage, link/patty, cooked",b
"Sausage, pork and beef, fresh",b
"Sausage, turkey, reduced fat",b
Poultry salad sandwich spread,a
"Salami, cooked, beef",b
"Salami, cooked, beef and pork",a
"Salami, cooked, turkey",a
"Salami, dry or hard, pork",c
"Sandwich spread, pork, beef",d
"Sausage, smoked link sausage, pork",d
"Sausage, smoked link sausage, pork and beef",c
"Sausage, smoked link sausage, pork and beef ",c
"Thuringer, cervelat, summer sausage",a
"Turkey breast, sliced, prepackaged",b
"Sausage, Vienna, canned",a
"Honey roll sausage, beef",a
"Luncheon sausage, pork and beef",a
"Sausage, New england brand, pork",a
"Oscar Mayer, Bologna ",a
"Oscar Mayer, Braunschweiger Liver Sausage ",a
"Oscar Mayer, Chicken Breast ",a
"Oscar Mayer, Ham ",b
"Oscar Mayer, Salami ",c
"Oscar Mayer, Smokies Sausage Little Cheese ",b
"Oscar Mayer, Wieners ",b
hot dog,a
frankfurter,b
hotdog,c
wiener,b
"Bacon, turkey, unprepared",b
Hormel Pillow Pak Sliced Turkey Pepperoni,b
"Sausage, turkey, pork",a
"Frankfurter, beef, pork",a
hot dog,a
wiener,a
frank,a
"Luncheon meat, pork, ham",b
"Luncheon meat, pork with ham, minced",b
"Luncheon meat, pork and chicken, minced",a
"Bratwurst, veal, cooked",d
Liverwurst spread,c
Roast beef spread,c
"Salami, pork, beef",c
"Sausage, Italian, sweet",c
"Sausage, Polish, beef with chicken",c
"Sausage, Polish, pork and beef",a
"Sausage, pork and beef, with cheddar cheese",c
"Sausage, summer, pork and beef",b
"Sausage, turkey, breakfast links",b
"Swisswurst, pork and beef, with swiss cheese",a
Bacon and beef sticks,c
"Bratwurst, beef and pork, smoked",a
"Bratwurst, chicken, cooked",a
"Bratwurst, pork, beef and turkey",a
"Pastrami, beef, 98% fat-free",a
"Salami, Italian, pork",a
"Sausage, Italian, turkey",a
"Sausage, chicken, beef",a
"Sausage, turkey, hot",b
"Yachtwurst, with pistachio nuts, cooked",c
"Beerwurst, pork and beef",b
"Chicken breast, fat-free, mesquite flavor",b
"Chicken breast, oven-roasted, fat-free",a
"Kielbasa, Polish, turkey and beef",a
"Chicken breast, roll, oven-roasted",b
"Bologna, pork and turkey, lite",a
"Bologna, pork, turkey and beef",a
"Ham, honey, smoked",b
"Frankfurter, pork",c
hot dog,b
wiener,b
frank,b
"Macaroni and cheese loaf, chicken, pork and beef",a
"Salami, Italian, pork and beef",b
"Pate, truffle flavor",b
"Turkey, breast, smoked",a
"Turkey, white, rotisserie",c
"Frankfurter, beef, heated",c
hot dog,c
frank,b
wiener,a
"Frankfurter, meat, heated",b
"Frankfurter, meat",a
"Scrapple, pork",b
"Bologna, chicken, turkey",c
"Pork sausage, link/patty, fully cooked",b
"Sausage, breakfast sausage, beef",b
"Sausage, turkey, fresh",b
"Sausage, beef, fresh",a
"Sausage, pork and turkey, pre-cooked",b
"Bologna, chicken, pork",b
"Chicken breast, deli, rotisserie seasoned",a
"Frankfurter, meat and poultry, unheated",b
"Frankfurter, meat and poultry, cooked",c
"Pork sausage, link/patty, reduced fat",c
"Kielbasa, fully cooked, grilled",c
"Kielbasa, fully cooked, pan-fried",b
"Kielbasa, fully cooked, unheated",a
"Bologna, meat and poultry",b
"Meatballs, frozen, Italian style",b
"Bacon, turkey, microwaved",a
"Bacon, turkey, low sodium",b
"Sausage, chicken or turkey, Italian style",b
"Ham, smoked, extra lean",a
"Pork sausage, reduced sodium, cooked",b
"Sausage, pork, turkey",a
"Acerola, raw",a
"Acerola juice, raw",a
"Apples, raw, with skin ",a
"Apples, raw, without skin",a
"Apples, canned, sweetened",a
"Apples, dehydrated , sulfured",a
"Apples, dried, sulfured",b
"Apples, frozen, unsweetened",c
"Apple juice, canned or bottled, unsweetened",b
"Apple juice, frozen concentrate, unsweetened",c
"Applesauce, canned, unsweetened",c
"Applesauce, canned, sweetened",a
"Apricots, raw",b
"Apricots, canned, water pack",a
"Apricots, canned, juice pack",a
"Apricots, canned, extra light syrup pack",a
"Apricots, canned, light syrup pack",a
"Apricots, canned, heavy syrup pack",a
"Apricots, canned, extra heavy syrup pack",c
"Apricots, dehydrated , sulfured",b
"Apricots, dried, sulfured",b
"Apricots, frozen, sweetened",b
"Apricot nectar, canned, with added ascorbic acid",b
"Avocados, raw, all commercial varieties",a
"Avocados, raw, California",a
"Avocados, raw, Florida",c
"Bananas, raw",c
"Bananas, dehydrated, or banana powder",a
"Blackberries, raw",b
"Blackberry juice, canned",a
"Cherries, tart, dried",b
"Blackberries, canned, heavy syrup",a
"Blackberries, frozen, unsweetened",c
"Blueberries, raw",c
"Blueberries, canned, heavy syrup",a
"Blueberries, wild, frozen ",b
"Blueberries, frozen, unsweetened ",a
"Blueberries, frozen, sweetened",a
"Boysenberries, canned, heavy syrup",a
"Boysenberries, frozen, unsweetened",a
"Breadfruit, raw",a
"Carambola, raw",a
"Carissa, raw",a
"Cherimoya, raw",b
"Cherries, sour, red",a
"Cherries, sweet, raw",a
"Cherries, sweet, canned",c
"Crabapples, raw",a
"Cranberries, raw",a
"Cranberries, dried, sweetened ",a
"Cranberry sauce, canned, sweetened",b
"Cranberry-orange relish, canned",a
"Currants, european black, raw",a
"Currants, red and white, raw",c
"Currants, zante, dried",d
raisin,a
"Custard-apple, raw",a
"Dates, deglet noor",a
"Elderberries, raw",a
"Figs, raw",a
"Figs, canned, water pack",a
"Figs, canned, light syrup pack",a
"Figs, canned, heavy syrup pack",b
"Figs, canned, extra heavy syrup pack",a
"Figs, dried, uncooked",b
"Figs, dried, stewed",a
"Fruit cocktail, canned",a
"Fruit salad, canned",b
"Gooseberries, raw",b
"Gooseberries, canned, light syrup pack",a
"Goji berries, dried",a
wolfberries,a
"Grapefruit, raw, pink and red and white",a
"Grapefruit, raw, pink and red",b
"Grapefruit, raw, white",a
"Grapefruit, sections, canned",a
"Grapefruit juice, white, canned or bottled",a
"Grapefruit juice, white, canned",b
"Grapefruit juice, white, frozen concentrate",b
"Grapefruit juice, pink or red, with added calcium",b
"Grapefruit juice, white, raw",a
"Grapes, muscadine, raw",a
"Grape juice, canned or bottled, unsweetened",a
"Grapes, american type , raw",a
"Grapes, red or green ",a
"Grapes, canned, thompson seedless",a
"Groundcherries, raw",a
"Guavas, common, raw",d
"Guavas, strawberry, raw",c
"Guava sauce, cooked",d
"Jackfruit, raw",c
"Java-plum, raw",c
"Jujube, raw",c
"Jujube, Chinese, fresh",c
"Kiwifruit, green, raw",b
Chinese gooseberry,b
"Kumquats, raw",c
"Lemons, raw, without peel",c
"Lemon juice, raw",d
"Lemon juice from concentrate, canned or bottled",c
"Lemon peel, raw",b
"Limes, raw",b
"Lime juice, raw",b
"Lime juice, canned or bottled, unsweetened",a
"Blueberries, dried, sweetened",a
"Litchis, raw",b
lychee,c
"Litchis, dried",a
lychee,a
"Loganberries, frozen",c
"Longans, raw",c
"Longans, dried",c
"Loquats, raw",a
"Mammy-apple, raw",a
"Mangos, raw",a
"Mangosteen, canned, syrup pack",b
"Mango, dried, sweetened",a
"Melons, cantaloupe, raw",b
"Melons, casaba, raw",c
"Melons, honeydew, raw",c
"Melon balls, frozen",c
"Mulberries, raw",c
"Nectarines, raw",a
"Oheloberries, raw",b
"Olives, ripe, canned ",b
"Olives, pickled, canned or bottled",b
"Oranges, raw, all commercial varieties",b
"Oranges, raw, California",a
"Oranges, raw, navels ",a
"Oranges, raw, Florida",c
"Oranges, raw, with peel",c
"Orange juice, raw ",a
"Orange juice, canned, unsweetened",b
"Orange juice, chilled, includes from concentrate",d
"Orange juice, frozen concentrate, unsweetened",b
"Orange peel, raw",c
"Orange-grapefruit juice, canned or bottled, unsweetened",c
"Tangerines, raw",b
"Tangerines, canned",c
"Tangerine juice, raw",c
"Papayas, raw",c
"Papaya, canned, heavy syrup",c
"Papaya nectar, canned",c
"Passion-fruit, purple",d
"Passion-fruit juice, purple, raw",c
"Passion-fruit juice, yellow, raw",b
"Peaches, yellow, raw",c
"Peaches, canned, water pack",c
"Peaches, canned, juice pack",c
"Peaches, canned, extra light syrup",a
"Peaches, canned, light syrup pack",c
"Peaches, canned, heavy syrup pack",a
"Peaches, canned, extra heavy syrup pack",a
"Peaches, spiced, canned",a
"Peaches, dehydrated , sulfured",a
"Peaches, dried, sulfured",a
"Peaches, frozen, sliced",a
"Peach nectar, canned, with sucralose",a
"Pears, raw",a
"Pears, canned, water pack",a
"Pears, canned, juice pack",a
"Pears, canned, extra light syrup pack",a
"Pears, canned, light syrup pack",a
"Pears, canned, heavy syrup pack",a
"Pears, canned, extra heavy syrup pack",a
"Pears, dried, sulfured",a
"Pear nectar, canned, without added ascorbic acid",a
"Persimmons, japanese, raw",a
"Persimmons, japanese, dried",a
"Persimmons, native, raw",a
"Pineapple, raw, all varieties",a
"Pineapple, canned, water pack",a
"Pineapple, canned, juice pack",a
"Pineapple, canned, light syrup pack",a
"Pineapple, canned, heavy syrup pack",a
"Pineapple, canned, extra heavy syrup pack",a
"Pineapple, frozen, chunks",a
"Pineapple juice, canned or bottled, unsweetened",a
"Pineapple juice, frozen concentrate, unsweetened",a
"Pitanga, raw",a
"Plantains, yellow, raw",a
"Plantains, yellow, baked",b
"Plums, raw",a
"Plums, canned, purple",a
"Pomegranates, raw",a
"Prickly pears, raw",a
"Prunes, canned, heavy syrup pack",a
"Prunes, dehydrated , uncooked",b
"Prunes, dehydrated , stewed",b
"Plums, dried, uncooked",b
"Plums, dried, stewed",b
"Prune juice, canned",a
"Pummelo, raw",a
"Quinces, raw",c
"Raisins, golden, seedless",c
"Raisins, dark, seedless ",c
"Raisins, seeded",b
"Rambutan, canned, syrup pack",b
"Raspberries, raw",a
"Raspberries, canned, red",a
"Raspberries, frozen, red",a
"Rhubarb, raw",b
"Rhubarb, frozen, uncooked",a
"Rhubarb, frozen, cooked",b
"Roselle, raw",d
"Rose-apples, raw",c
"Sapodilla, raw",d
"Sapote, mamey, raw",b
mamey colorado,a
marmalade plum,b
"Soursop, raw",b
"Strawberries, raw",b
"Strawberries, canned, heavy syrup pack",b
"Strawberries, frozen, unsweetened ",c
"Strawberries, frozen, sweetened",a
"Sugar-apples, raw",a
"Tamarinds, raw",a
"Fruit salad, tropical",a
"Watermelon, raw",c
"Maraschino cherries, canned, drained",d
"Feijoa, raw",b
"Pears, asian, raw",b
"Fruit cocktail, canned, heavy syrup",a
"Blueberries, canned, light syrup",a
"Blueberries, wild, canned",a
"Apricots, canned, heavy syrup",a
"Cherries, sour, canned",a
"Peaches, canned, heavy syrup",b
"Pears, canned, heavy syrup",a
"Plums, canned, heavy syrup",a
"Grapefruit juice, pink, raw",a
"Peach nectar, canned, with added ascorbic acid",a
"Pear nectar, canned, with added ascorbic acid",a
vitamin C,a
"Pears, raw, bartlett ",c
"Pears, raw, red anjou",d
"Pears, raw, bosc ",a
"Pears, raw, green anjou ",a
"Grapefruit juice, white, bottled",a
"Jackfruit, canned, syrup pack",a
"Dates, medjool",a
"Durian, raw or frozen",a
Prune puree,a
Candied fruit,a
"Abiyuch, raw",a
garlic pear,a
"Rowal, raw",a
"Pineapple, raw, traditional varieties",a
"Pineapple, raw, extra sweet variety",a
"Clementines, raw",a
"Guanabana nectar, canned",a
"Guava nectar, canned, with added ascorbic acid",a
"Mango nectar, canned",a
"Tamarind nectar, canned",b
"Pomegranate juice, bottled",b
"Juice, apple and grape blend, with added ascorbic acid",a
"Juice, apple, grape and pear blend",b
"Plantains, green, fried",a
tostones de platano,a
"Plantains, yellow, fried",a
platanos maduros,a
"Nance, canned, syrup",a
yellow cherries,b
"Nance, frozen, unsweetened",b
yellow cherries,b
"Naranjilla  pulp, frozen, unsweetened",a
Horned melon ,a
African horned melon,a
Orange Pineapple Juice Blend,a
"Apples, raw, red delicious",c
"Apples, raw, golden delicious",c
"Apples, raw, granny smith",c
"Apples, raw, gala",b
"Apples, raw, fuji",c
"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO",a
"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE",c
"Pineapple juice, canned, not from concentrate",c
"Fruit juice smoothie, NAKED JUICE, BLUE MACHINE",c
"Fruit juice smoothie, ODWALLA, ORIGINAL SUPERFOOD",c
"Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST",c
"Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS",c
"Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana",c
"Guava nectar, with sucralose, canned",b
"Kiwifruit, ZESPRI SunGold, raw",c
Gold3,c
"Cranberry juice blend, 100% juice, bottled",b
"Lemon juice from concentrate, bottled, CONCORD",c
"Lemon juice from concentrate, bottled, REAL LEMON",b
"Cranberry sauce, whole, canned",c
"Cranberry sauce, jellied, canned",b
Ruby Red grapefruit juice blend ,c
"Fruit juice smoothie, ODWALLA, strawberry banana",c
"Fruit juice smoothie, NAKED JUICE, strawberry banana",b
"Plantains, green, raw",c
"Plantains, green, boiled",c
Baobab powder,c
"Cherry juice, tart",c
"Raspberries, puree, seedless",c
"Raspberries, puree, with seeds",c
Raspberry juice concentrate,c
"Pork, fresh, composite of separable fat",c
"Pork, fresh, carcass",b
"Pork, fresh, composite of trimmed retail cuts (leg",c
"Pork, fresh, composite of trimmed leg",c
"Pork, fresh, backfat",c
"Pork, fresh, belly",c
"Pork, fresh, separable fat",c
"Pork, fresh, leg ",c
"Pork, fresh, loin",c
"Pork, fresh, shoulder",c
"Pork, fresh, spareribs",c
"Pork, fresh, variety meats and by-products",b
"Pork, cured, bacon",b
"Pork, cured, breakfast strips",c
"Canadian bacon, unprepared",c
"Pork, cured, feet",c
"Pork, cured, ham",c
"Pork, cured, salt pork",c
"Pork, cured, separable fat ",c
"Pork, cured, shoulder",c
"Pork, fresh, backribs",c
"Pork, fresh, ground",c
"Pork, fresh, composite of trimmed retail cuts ",c
"HORMEL, Cure 81 Ham",c
"HORMEL ALWAYS TENDER, Pork Tenderloin, Teriyaki-Flavored",b
"HORMEL ALWAYS TENDER, Pork Tenderloin, Peppercorn-Flavored",b
"HORMEL ALWAYS TENDER, Pork Loin Filets, Lemon Garlic-Flavored",c
"HORMEL ALWAYS TENDER, Center Cut Chops, Fresh Pork",b
"HORMEL ALWAYS TENDER, Boneless Pork Loin, Fresh Pork",c
HORMEL Canadian Style Bacon,c
"Pork, bacon, rendered fat",d
bacon drippings,d
"Pork, cured, ham -- water added",d
"Pork, cured, ham and water product",c
"Pork, cured, ham with natural juices",c
"Pork, pickled pork hocks",c
"Pork, fresh, enhanced",c
"Pork, loin, leg cap steak",c
URMIS #3646,c
Leg cap steak,d
Gracilis,d
"Pork, Leg Cap Steak, boneless",c
URMIS #3646,c
Leg cap steak,c
Gracilis,b
"Pork, Shoulder breast, boneless",c
URMIS #3604,c
Shoulder breast,d
Pectoralis Profundi,c
"Pork, shoulder, petite tender",c
URMIS #3605,c
Shoulder petite tender,d
Teres major,c
"Pork, Shoulder petite tender, boneless",c
URMIS #3605,d
Shoulder petite tender,c
Teres major,c
"Pork, Leg sirloin tip roast, boneless",c
URMIS #3647,c
Leg sirloin tip roast,c
Vastas Lateralis/Rectus femoris,c
"Pork, ground, 84% lean / 16% fat",c
"Pork, ground, 96% lean / 4% fat",e
"Pork, ground, 72% lean / 28% fat",c
"Pork loin, fresh, backribs",b
"Pork, fresh, blade",c
"Bacon, pre-sliced, reduced/low sodium",c
"Canadian bacon, cooked, pan-fried",c
"Alfalfa seeds, sprouted, raw",c
"Amaranth leaves, raw",c
"Amaranth leaves, cooked, boiled",c
"Arrowhead, raw",c
"Arrowhead, cooked, boiled",c
"Artichokes, raw",b
"Artichokes, cooked",b
"Artichokes, frozen",b
"Asparagus, raw",d
"Asparagus, cooked, boiled",c
"Asparagus, canned, regular pack",a
"Asparagus, canned, drained solids",c
"Asparagus, frozen, unprepared",c
"Asparagus, frozen, cooked",c
"Balsam-pear, leafy tips, raw",c
"Balsam-pear, leafy tips, cooked",b
"Balsam-pear, pods, raw",d
"Balsam-pear, pods, cooked",a
"Bamboo shoots, raw",a
"Bamboo shoots, cooked, boiled",a
"Bamboo shoots, canned, drained solids",c
"Beans, kidney, mature seeds",b
"Lima beans, immature seeds, raw",c
"Lima beans, immature seeds, cooked",c
"Lima beans, immature seeds, canned",c
"Lima beans, immature seeds, frozen",c
"Mung beans, mature seeds, sprouted",c
"Beans, navy, mature seeds",c
"Beans, pinto, immature seeds",c
"Beans, shellie, canned",c
"Beans, snap, green",c
"Beans, snap, canned",c
"Beets, raw",b
"Beets, cooked, boiled",c
"Beets, canned, regular pack",c
"Beets, canned, drained solids",c
"Beet greens, raw",b
"Beet greens, cooked, boiled",c
"Broadbeans, immature seeds, raw",c
"Broadbeans, immature seeds, cooked",c
"Broccoli, raw",c
"Broccoli, cooked, boiled",b
"Broccoli, frozen, chopped",b
"Broccoli, frozen, spears",c
"Broccoli raab, raw",b
Broccoli rabe,c
Rapini,b
"Broccoli raab, cooked",b
Broccoli rabe,b
Rapini,b
"Brussels sprouts, raw",b
"Brussels sprouts, cooked, boiled",b
"Brussels sprouts, frozen, unprepared",b
"Brussels sprouts, frozen, cooked",c
"Burdock root, raw",b
"Burdock root, cooked, boiled",b
"Butterbur, raw",c
"Butterbur, cooked, boiled",b
"Butterbur, canned",b
"Cabbage, raw",c
"Cabbage, cooked, boiled",c
"Cabbage, red, raw",b
"Cabbage, red, cooked",c
"Cabbage, savoy, raw",b
"Cabbage, savoy, cooked",b
"Cabbage, chinese, raw",b
pak choi,c
bok choy,b
"Cabbage, chinese, cooked",c
bok choy,e
pak choi,c
"Cabbage, kimchi",c
"Cardoon, raw",c
"Cardoon, cooked, boiled",b
"Carrots, raw",b
"Carrots, cooked, boiled",b
"Carrots, canned, regular pack",c
"Carrots, frozen, unprepared ",c
"Carrots, frozen, cooked",c
"Cassava, raw",c
"Cauliflower, raw",c
"Cauliflower, cooked, boiled",c
"Cauliflower, frozen, unprepared",c
"Cauliflower, frozen, cooked",c
"Celeriac, raw",c
"Celeriac, cooked, boiled",c
"Celery, raw",c
"Celery, cooked, boiled",c
"Celtuce, raw",c
"Chard, swiss, raw",c
"Chard, swiss, cooked",c
"Chayote, fruit, raw",c
christophine,c
"Chayote, fruit, cooked",c
christophine,c
"Chicory, witloof, raw",c
"Chicory greens, raw",c
"Chicory roots, raw",b
"Chives, raw",c
"Chrysanthemum, garland, raw",c
"Chrysanthemum, garland, cooked",c
"Collards, raw",c
"Collards, cooked, boiled",c
"Collards, frozen, chopped",c
"Coriander leaves, raw",c
Chinese parsley,c
raw,c
Cilantro,c
raw,c
"Corn, sweet, yellow",c
"Corn, yellow, whole kernel",b
"Corn with red and green peppers, canned, solids and liquids",b
"Cornsalad, raw",c
"Cowpeas , immature seeds, raw",c
"Cowpeas , immature seeds, cooked",c
"Cowpeas , immature seeds, frozen",b
"Cowpeas, young pods with seeds, raw",c
"Cowpeas, young pods with seeds, cooked",c
"Yardlong bean, raw",c
"Yardlong bean, cooked, boiled",c
"Cowpeas, leafy tips, raw",c
"Cowpeas, leafy tips, cooked",d
"Cress, garden, raw",b
"Cress, garden, cooked",c
"Cucumber, with peel, raw",b
"Cucumber, peeled, raw",c
"Dandelion greens, raw",b
"Dandelion greens, cooked, boiled",b
"Eggplant, raw",b
"Eggplant, cooked, boiled",c
"Edamame, frozen, unprepared",c
"Edamame, frozen, prepared",b
"Endive, raw",b
"Escarole, cooked, boiled",b
"Garlic, raw",b
"Ginger root, raw",b
"Gourd, white-flowered , raw",c
"Gourd, white-flowered , cooked",b
"Gourd, dishcloth , raw",b
"Gourd, dishcloth , cooked",a
"Drumstick leaves, raw",b
Harseradish tree leaves,b
"Drumstick leaves, cooked, boiled",a
Horseradish-tree,b
"Hyacinth-beans, immature seeds, raw",b
"Hyacinth-beans, immature seeds, cooked",c
"Jerusalem-artichokes, raw",b
Sunchokes,b
"Jew's ear, raw",a
"Pepeao, dried",b
"Jute, potherb, raw",c
"Jute, potherb, cooked",c
"Kale, raw",b
"Kale, cooked, boiled",c
"Kale, frozen, unprepared",b
"Kale, frozen, cooked",b
"Kanpyo, ",b
"Mushrooms, shiitake, raw",b
"Mushrooms, Chanterelle, raw",b
"Mushrooms, morel, raw",b
"Kohlrabi, raw",b
"Kohlrabi, cooked, boiled",b
"Mushrooms, portabella, grilled",b
Portobello,b
"Lambsquarters, raw",c
"Lambsquarters, cooked, boiled",b
"Leeks, raw",b
"Leeks, cooked",b
"Lentils, sprouted, raw",c
"Lentils, sprouted, cooked",c
"Lettuce, butterhead , raw",c
"Lettuce, cos or romaine, raw",c
"Lettuce, iceberg, raw",b
"Lettuce, green leaf, raw",c
"Lotus root, raw",b
"Lotus root, cooked, boiled",b
"Lettuce, red leaf, raw",b
"Mountain yam, hawaii, raw",a
"Mountain yam, hawaii, cooked",c
"Mushrooms, white, raw",b
"Mushrooms, white, cooked",a
"Mushrooms, white, stir-fried",c
"Mushrooms, canned, drained solids",b
"Mushrooms, portabella, raw",c
Portabello,c
"Mushrooms, brown, italian",c
"Mushrooms, shiitake, stir-fried",c
"Mushrooms, shiitake, dried",b
"Mushrooms, shiitake, cooked",b
"Mustard greens, raw",b
"Mustard greens, cooked, boiled",c
"Mustard greens, frozen, unprepared",b
"Mustard greens, frozen, cooked",c
"Mustard spinach, raw",c
"Mustard spinach, cooked",a
"New Zealand spinach, raw",c
"New Zealand spinach, cooked, boiled",b
"Okra, raw",c
"Okra, cooked, boiled",c
"Okra, frozen, unprepared",b
"Okra, frozen, cooked",c
"Onions, raw",c
"Onions, cooked, boiled",c
"Onions, dehydrated flakes",c
"Onions, canned, solids and liquids",b
"Onions, yellow, sauteed",c
"Onions, frozen, chopped",b
"Onions, frozen, whole",b
"Onions, spring or scallions, raw",a
"Onions, young green, tops only",b
"Onions, welsh, raw",b
"Onions, sweet, raw",b
"Onion rings, breaded, par fried",c
"Parsley, fresh",b
"Parsnips, raw",c
"Parsnips, cooked, boiled",b
"Peas, edible-podded, raw",b
Snowpeas,c
Sugar snap peas,b
"Peas, edible-podded, boiled",b
Sugar snap peas,d
Snowpeas,c
"Peas, edible-podded, frozen",c
Sugar snap peas,c
Snowpeas,c
"Peas, green, raw",c
"Peas, green, cooked",b
"Peas, green, canned",c
"Peas, green , canned",c
"Peas, green, frozen",b
"Peas, mature seeds, sprouted",c
"Peas and carrots, canned, regular pack",c
"Peas and carrots, frozen, unprepared",c
"Peas and carrots, frozen, cooked",c
"Peas and onions, canned, solids and liquids",c
"Peas and onions, frozen, unprepared",c
"Peas and onions, frozen, cooked",c
"Peppers, hot chili, green",c
"Peppers, sweet, green",c
"Pigeonpeas, immature seeds, raw",c
"Pigeonpeas, immature seeds, cooked",c
Poi,b
"Pokeberry shoots, raw",c
"Pokeberry shoots, cooked",b
"Potatoes, flesh and skin, raw",c
"Potatoes, russet, flesh and skin",a
"Potatoes, white, flesh and skin",a
"Potatoes, red, flesh and skin",a
"Potatoes, Russet, flesh and skin",a
"Potatoes, french fried, crinkle or regular cut",a
"Potatoes, roasted, salt added in processing",b
"Potatoes, raw, skin",b
"Potatoes, baked, flesh",e
"Potatoes, baked, skin",c
"Potatoes, boiled, cooked in skin",b
"Potatoes, boiled, cooked without skin",c
"Potatoes, microwaved, cooked in skin",b
"Potatoes, hash brown, home-prepared",b
Potatoes,b
hashed brown,c
"Potatoes, mashed, home-prepared",c
"Potatoes, scalloped, home-prepared with butter",c
"Potatoes, au gratin, home-prepared from recipe using butter",b
"Potatoes, canned, solids and liquids",c
"Potatoes, canned, drained solids",b
"Potatoes, mashed, dehydrated",b
"Potatoes, au gratin, dry mix",b
"Potatoes, scalloped, dry mix",d
"Potatoes, hash brown, frozen",c
Potatoes,c
hashed brown,b
"Potatoes, french fried, shoestring",a
"Potatoes, o'brien, frozen",d
"Potato puffs, frozen, unprepared",d
"Potato puffs, frozen, oven-heated",d
"Potatoes, frozen, whole",e
"Potatoes, french fried, all types",b
"Potatoes, french fried, cottage-cut",a
"Potatoes, frozen, french fried",b
"Potato wedges, frozen ",b
"Potatoes, french fried, steak fries",a
Potato flour,b
"Potato salad, home-prepared",b
"Pumpkin flowers, raw",b
"Pumpkin flowers, cooked, boiled",c
"Pumpkin leaves, raw",a
"Pumpkin leaves, cooked, boiled",d
"Pumpkin, raw",c
"Pumpkin, cooked, boiled",a
"Pumpkin, canned, without salt",b
"Pumpkin pie mix, canned",a
"Purslane, raw",a
"Purslane, cooked, boiled",c
"Radishes, raw",d
"Radishes, oriental, raw",d
"Radishes, oriental, cooked",d
"Radishes, oriental, dried",c
"Rutabagas, raw",c
"Rutabagas, cooked, boiled",b
"Salsify, raw",c
"Salsify, cooked, boiled",b
"Sauerkraut, canned, solids and liquids",b
"Seaweed, agar, raw",b
"Seaweed, irishmoss, raw",c
"Seaweed, kelp, raw",b
"Seaweed, laver, raw",c
"Sesbania flower, raw",c
"Sesbania flower, cooked, steamed",c
"Soybeans, green, raw",c
"Soybeans, green, cooked",c
"Soybeans, mature seeds, sprouted",c
"Spinach, raw",c
"Spinach, cooked, boiled",d
"Spinach, canned, regular pack",d
"Spinach, frozen, chopped or leaf",d
"Squash, summer, crookneck and straightneck",d
"Squash, summer, scallop",d
"Squash, summer, zucchini",d
"Squash, winter, acorn",d
"Squash, winter, butternut",d
"Squash, winter, hubbard",d
"Squash, winter, spaghetti",d
"Succotash, raw",d
"Succotash, cooked",d
"Succotash, canned",e
"Succotash, frozen",c
"Water convolvulus, raw",c
kangkong,e
water spinach,c
"Water convolvulus, cooked, boiled",d
Kangkong,d
Water spinach,d
"Sweet potato leaves, raw",c
Sweetpotato leaves,d
"Sweet potato leaves, cooked, steamed",d
Sweetpotato leaves,c
"Sweet potato, raw, unprepared ",c
Sweetpotato,c
"Sweet potato, cooked, baked in skin",d
Sweetpotato,d
"Sweet potato, cooked, boiled",d
Sweetpotato,d
"Sweet potato, canned, vacuum pack",c
Sweetpotato,d
"Sweet potato, canned, mashed",d
Sweetpotato,d
"Sweet potato, frozen, unprepared ",c
Sweetpotato,d
"Sweet potato, frozen, cooked",d
Sweetpotato,d
"Taro, raw",c
"Taro, cooked, without salt",c
"Taro leaves, raw",e
"Taro leaves, cooked, steamed",c
"Taro shoots, raw",d
"Taro shoots, cooked, without salt",d
"Taro, tahitian, raw",c
"Taro, tahitian, cooked",c
"Tomatoes, green, raw",d
"Tomatoes, red, ripe",d
"Tomato juice, canned, with salt added",c
"Tomato products, canned, paste",e
"Tomato products, canned, puree",d
Tomato powder,d
"Tomato products, canned, sauce",c
"Tree fern, cooked, without salt",d
"Turnips, raw",d
"Turnips, cooked, boiled",d
"Turnips, frozen, unprepared",d
"Turnips, frozen, cooked",e
"Turnip greens, raw",c
"Turnip greens, cooked, boiled",c
"Turnip greens, canned, solids and liquids",d
"Turnip greens, frozen, unprepared",d
"Turnip greens, frozen, cooked",c
"Turnip greens and turnips, frozen, unprepared",e
"Turnip greens and turnips, frozen, cooked",e
"Vegetable juice cocktail, canned",d
"Vegetables, mixed, canned",d
"Vegetables, mixed, frozen",d
"Vegetable juice cocktail, low sodium, canned",d
"Vinespinach, raw",d
"Waterchestnuts, chinese",e
"Waterchestnuts, chinese, canned",c
"Watercress, raw",c
"Waxgourd, raw",c
"Waxgourd, cooked",c
"Winged beans, immature seeds, raw",d
"Winged beans, immature seeds, cooked",d
"Winged bean leaves, raw",d
"Winged bean tuber, raw",d
"Yam, raw",c
"Yam, cooked, boiled",d
"Yambean, raw",d
"Yambean, cooked, boiled",d
"Beets, harvard, canned",c
"Beets, pickled, canned",d
"Borage, raw",d
"Borage, cooked, boiled",e
"Chives, freeze-dried",e
"Dock, raw",c
